Order_ID,Tanggal,Customer_ID,Produk,Wilayah,Segmen_Pelanggan,Kanal_Penjualan,Jumlah_Produk,Harga_Satuan,Total_Penjualan,Tipe_Pelanggan,Metode_Pembayaran,Status_Data
ORD-119,2026-07-20 00:00:00,CUST-041,Paket Hemat,Jakarta Selatan,Komunitas/Organisasi,WhatsApp,7,35000,245000,Repeat,Cash,DUMMY
ORD-128,2026-07-20 00:00:00,CUST-072,Ayam Blackpepper,Jakarta Timur,Mahasiswa,Offline/Event,3,21000,63000,Repeat,Transfer,DUMMY
ORD-045,2026-07-21 00:00:00,CUST-079,Ayam BBQ,Depok,Mahasiswa,Instagram,3,20000,60000,Repeat,E-Wallet,DUMMY
ORD-121,2026-07-21 00:00:00,CUST-076,Ayam BBQ,Jakarta Selatan,Mahasiswa,Teman/Referensi,4,20000,80000,Repeat,Cash,DUMMY
ORD-136,2026-07-22 00:00:00,CUST-028,Ayam Blackpepper,Jakarta Barat,Mahasiswa,WhatsApp,2,21000,42000,Repeat,Transfer,DUMMY
ORD-001,2026-07-24 00:00:00,CUST-001,Ayam BBQ,Jakarta Timur,Mahasiswa,Instagram,1,20000,20000,Baru,Transfer,DUMMY
ORD-077,2026-07-24 00:00:00,CUST-082,Ayam BBQ,Bekasi,Mahasiswa,Instagram,1,20000,20000,Repeat,Cash,DUMMY
ORD-080,2026-07-24 00:00:00,CUST-060,Ayam Original,Depok,Rumah Tangga,Teman/Referensi,4,18000,72000,Baru,E-Wallet,DUMMY
ORD-027,2026-07-25 00:00:00,CUST-004,Ayam Pedas,Bekasi,Mahasiswa,TikTok,2,19000,38000,Baru,E-Wallet,DUMMY
ORD-055,2026-07-25 00:00:00,CUST-079,Ayam Pedas,Jakarta Barat,Mahasiswa,TikTok,1,19000,19000,Baru,Transfer,DUMMY
ORD-087,2026-07-25 00:00:00,CUST-026,Ayam Pedas,Tangerang,Mahasiswa,WhatsApp,2,19000,38000,Repeat,Cash,DUMMY
